"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Shrub","Agarita","Agarito, Algerita, Laredo Mahonia, Laredo Oregon-grape, Trifoliate Barberry, Wild Currant","Berberis trifoliolata","Chihuahuan Deserts, Edwards Plateau","3","6","3","6","Sun","Very Low","Evergreen","Perennial","Spring","Yellow","Berry, Nectar, Nesting Material","Loam, Clay, Limestone, Caliche, Well Drained","Butterflies, Birds, Small Mammals, Bees","Woodland","Pruning not necessary","Evergreen shrub with bluish-green, holly-like foliage. The prickly leaves are not pedestrian friendly but provide excellent nesting for birds. Has fragrant early spring flowers. The red berries are edible and were used by early settlers to make jelly. Good for nesting birds. Replaces Invasives: Nandina, Heavenly Bamboo","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=MATR3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Berberis+trifoliolata&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4900&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 6) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 233. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=503652#null"
"","Fern","Alabama Lipfern","","Cheilanthes alabamensis","Chihuahuan Deserts, Edwards Plateau, Texas Blackland Prairies","2","5","1","2","Part Shade, Shade","Low, Medium, High","Deciduous","Perennial","No Bloom","No Bloom","","Rocky, Limestone","","Woodland","Alabama Lipfern is a short to compact fern.","It can be found growing on rocky slopes and cliffs.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CHAL5. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Cheilanthes+alabamensis&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=20490&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=17434#null"
"","Vine","Alamo Vine","Noyau Vine, Correhuela De Las Doce","Merremia dissecta","Southern Texas Plains, Texas Blackland Prairies","10","12","0.25","0.5","Sun, Part Shade","Low, Medium","Deciduous","Perennial","Summer, Fall","White, Purple","Nectar","Sand, Loam, Clay, Limestone, Caliche, Calcareous, Well Drained","Butterflies","Grassland","Prune to direct growth","Fast-growing. Climbs by twining. Flowers bloom in afternoon. Very drought-tolerant; continues to bloom through summer even without water. Seeds sprout in moist soil; can be aggressive spreader, so good for erosion control. Many butterflies (lilac-banded longtail, cloudless giant sulpher, swallowtails, and fritillaries) are attracted to this source of nectar. Can be very aggressive.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=MEDI2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=7939&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30867#null"
"","Tree","Alligator Juniper","Checkerbark Juniper, Western Juniper, Oakbark Cedar, Thickbark Cedar, Mountain Cedar, Tascate, Tacate, Tlascal","Juniperus deppeana","Chihuahuan Deserts","15","20","15","20","Sun","Low","Evergreen","Perennial","Spring","White, Brown","Seeds, Forage","Sand, Rocky, Limestone, Well Drained, Dry","Browsers, Birds, Small Mammals","","Medium to fast growing if watered. Can adapt to grow over much of Texas.","Found on dry, rocky slopes from 4,500-10,000 ft. Very adaptable. Often associated with scrub oak. Invades disturbed sites. Fast growing. Flowers inconspicuous. Pollen cones cream to brownish. Scaly, blue-green needles. Copper colored fruit on females. Bark ashy gray outside, dark brown to black inside, with distinctive deeply fissured into smaller rectangular plates, which gives it ""alligator skin"" appearance.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=JUDE2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8222&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Juniperus+deppeana&formsubmit=Search+Terms. 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 315. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=194834#null"
"","Herbaceous","American Basketflower","Synonym/s: American Basket-flower, American Star-thistle, Basket-flower, Star Thistle, Shaving Brush, Basket Flower","Plectocephalus americanus","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","1.5","5","0.5","1","Sun, Part Shade","Low","Deciduous","Annual","Summer","Pink","Nectar","Sand, Loam, Clay, Dry","Butterflies, Birds, Bees","Grassland,Woodland","Spring: thin, transplant. Late Feb: remove dead above-ground material.","Has a sweet, honey fragrance and makes brilliant cut flowers. The plant resembles the thistles but lacks their prickly characteristics. This is a showy, easily cultivated wildflower. Attracts butterflies; birds feast on the relatively large seeds. Self-sows moderately. Seed commercially available.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=780479#null. 3) https://www.wildflower.org/plants/result.php?id_plant=CEAM2. 4)  http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=4066&locationType=County&mapType=Normal. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Plectocephalus+americanus&formsubmit=Search+Terms. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=780479#null"
"","Shrub","American Beautyberry","French Mulberry","Callicarpa americana","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","4","6","4","6","Shade","Low, Medium","Deciduous","Perennial","Summer","White, Pink","Berry, Nectar","Sand, Loam, Clay, Well Drained, Moist, Dry, Neutral","Butterflies, Birds","Woodland","Graceful structure can be allowed to grow in loose spreading form or cut back for to fit a more compact area.","Striking clusters of glossy, iridescent-purple fruit (sometimes white) in fall and winter. Prefers dependable moisture and deep soil. Berries are important food for many species of birds. Woods, bottom lands, thickets.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CAAM2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Callicarpa+americana&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13314&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 6) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 235. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32144#null"
"","Tree","American Elm","White Elm, Soft Elm, Water Elm, Common Elm","Ulmus americana","Cross Timbers, Texas Blackland Prairies, Western Gulf Coastal Plain","72","100","40","70","Sun, Part Shade","High","Deciduous","Perennial","Spring","Red, Green","Fall Color, Seeds, Larval Host","Well Drained, Moist","Butterflies, Birds, Moths","Woodland,Wetland or Riparian","Subject to Dutch Elm disease.","Wonderful large shade tree that supports a variety of wildlife. Likes moist soils, but will tolerate drought conditions. Larval Host: Morning Cloak, Columbia Silkmoth, Question Mark, Painted Lady, Comma butterflies.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 347. 4) https://www.wildflower.org/plants/result.php?id_plant=ULAM. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Ulmus+americana&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23682&locationType=County&mapType=Normal, 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19049#null"
"","Herbaceous","American Germander","Canada Germander, Canadian Germander, Germander, Hairy Germander, Wood Sage","Teucrium canadense","Edwards Plateau, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","1","3","1.5","3","Part Shade","High","Deciduous","Perennial","Summer","Pink","Seeds, Nectar","Sand, Loam, Clay, Limestone, Moist","Butterflies, Birds, Bees","Grassland","Plants spread on their own over time by rhizomes and may become aggressive if not kept in check periodically.","Aromatic, pink flowers Useful groundcover in moist areas. Makes nice cut flowers.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=TECA3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Teucrium+canadense&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13819&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32352#null"
"","Tree","American Holly","White Holly, Prickly Holly, Evergreen Holly, Christmas Holly, Yule Holly","Ilex opaca","Western Gulf Coastal Plain","15","25","15","20","Sun, Part Shade","Low, Medium","Evergreen","Perennial","Spring","White, Green","Berry, Forage, Pollen, Larval Host","Sand, Loam, Acid, Well Drained","Butterflies, Birds, Small Mammals, Bees","Woodland,Wetland or Riparian","Do Not Plant in Clay.  Naturally branches to the ground-don't prune.","Pyramidal shape in full sun, up to 60'  in part shade. Thick, leathery, deep green leaves (2-4"" long) have spiny teeth on leaf edges. Male and female greenish-white flowers on separate trees. Bright red fruits in fall on females, persist  through winter. Birds love the fruit.  Larval host Henry's Elfin butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 292. 4) https://www.wildflower.org/plants/result.php?id_plant=IL.OP. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Ilex+opaca&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1565&locationType=County&mapType=Normal., 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27982#null"
"","Herbaceous","American Pokeweed","Great Pokeweed, Pokeweed, Pokeberry, Red Ink Plant, Pigeonberry","Phytolacca americana","Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","3","5","2","3","Part Shade","Medium","Deciduous","Perennial","Summer, Fall","","Fruit, Nectar","Moist","Birds, Bees","Woodland","Berries and roots are poisonous to humans","A tall, large-leaved, branching plant with reddish stems and long clusters of small, white flowers.  The berry juice was used as a dye by the early colonists.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=PHAM4. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Phytolacca+americana&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=16889&locationType=County&mapType=Normal., 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19523#null"
